ID;DATAFLOW;COUNTRY;TIME_PERIOD;GDEATHRT_THSP
AD_2012;ESTAT:TPS00029(1.0);AD;2012;3.9
AD_2016;ESTAT:TPS00029(1.0);AD;2016;4.3
AD_2018;ESTAT:TPS00029(1.0);AD;2018;4.4
AD_2019;ESTAT:TPS00029(1.0);AD;2019;3.9
AD_2022;ESTAT:TPS00029(1.0);AD;2022;4.6
AL_2011;ESTAT:TPS00029(1.0);AL;2011;6.9
AL_2012;ESTAT:TPS00029(1.0);AL;2012;7.2
AL_2013;ESTAT:TPS00029(1.0);AL;2013;7.1
AL_2014;ESTAT:TPS00029(1.0);AL;2014;7.1
AL_2015;ESTAT:TPS00029(1.0);AL;2015;7.8
AL_2016;ESTAT:TPS00029(1.0);AL;2016;7.4
AL_2017;ESTAT:TPS00029(1.0);AL;2017;7.7
AL_2018;ESTAT:TPS00029(1.0);AL;2018;7.6
AL_2019;ESTAT:TPS00029(1.0);AL;2019;7.7
AL_2020;ESTAT:TPS00029(1.0);AL;2020;9.7
AL_2021;ESTAT:TPS00029(1.0);AL;2021;10.9
AL_2022;ESTAT:TPS00029(1.0);AL;2022;8.6
AM_2011;ESTAT:TPS00029(1.0);AM;2011;8.6
AM_2015;ESTAT:TPS00029(1.0);AM;2015;9.3
AM_2016;ESTAT:TPS00029(1.0);AM;2016;9.4
AM_2017;ESTAT:TPS00029(1.0);AM;2017;9.1
AM_2018;ESTAT:TPS00029(1.0);AM;2018;8.7
AM_2019;ESTAT:TPS00029(1.0);AM;2019;8.8
AM_2020;ESTAT:TPS00029(1.0);AM;2020;12.2
AT_2011;ESTAT:TPS00029(1.0);AT;2011;9.1
AT_2012;ESTAT:TPS00029(1.0);AT;2012;9.4
AT_2013;ESTAT:TPS00029(1.0);AT;2013;9.4
AT_2014;ESTAT:TPS00029(1.0);AT;2014;9.2
AT_2015;ESTAT:TPS00029(1.0);AT;2015;9.6
AT_2016;ESTAT:TPS00029(1.0);AT;2016;9.2
AT_2017;ESTAT:TPS00029(1.0);AT;2017;9.5
AT_2018;ESTAT:TPS00029(1.0);AT;2018;9.5
AT_2019;ESTAT:TPS00029(1.0);AT;2019;9.4
AT_2020;ESTAT:TPS00029(1.0);AT;2020;10.3
AT_2021;ESTAT:TPS00029(1.0);AT;2021;10.3
AT_2022;ESTAT:TPS00029(1.0);AT;2022;10.3
AZ_2011;ESTAT:TPS00029(1.0);AZ;2011;5.9
AZ_2012;ESTAT:TPS00029(1.0);AZ;2012;5.9
AZ_2013;ESTAT:TPS00029(1.0);AZ;2013;5.8
AZ_2014;ESTAT:TPS00029(1.0);AZ;2014;5.8
AZ_2015;ESTAT:TPS00029(1.0);AZ;2015;5.7
AZ_2016;ESTAT:TPS00029(1.0);AZ;2016;5.8
AZ_2017;ESTAT:TPS00029(1.0);AZ;2017;5.8
AZ_2018;ESTAT:TPS00029(1.0);AZ;2018;5.8
AZ_2019;ESTAT:TPS00029(1.0);AZ;2019;5.6
AZ_2020;ESTAT:TPS00029(1.0);AZ;2020;7.5
AZ_2021;ESTAT:TPS00029(1.0);AZ;2021;7.6
AZ_2022;ESTAT:TPS00029(1.0);AZ;2022;6.0
BA_2011;ESTAT:TPS00029(1.0);BA;2011;9.2
BA_2012;ESTAT:TPS00029(1.0);BA;2012;9.3
BA_2013;ESTAT:TPS00029(1.0);BA;2013;9.3
BA_2014;ESTAT:TPS00029(1.0);BA;2014;9.1
BA_2016;ESTAT:TPS00029(1.0);BA;2016;10.1
BA_2017;ESTAT:TPS00029(1.0);BA;2017;10.4
BA_2018;ESTAT:TPS00029(1.0);BA;2018;10.8
BE_2011;ESTAT:TPS00029(1.0);BE;2011;9.4
BE_2012;ESTAT:TPS00029(1.0);BE;2012;9.8
BE_2013;ESTAT:TPS00029(1.0);BE;2013;9.8
BE_2014;ESTAT:TPS00029(1.0);BE;2014;9.3
BE_2015;ESTAT:TPS00029(1.0);BE;2015;9.8
BE_2016;ESTAT:TPS00029(1.0);BE;2016;9.5
BE_2017;ESTAT:TPS00029(1.0);BE;2017;9.6
BE_2018;ESTAT:TPS00029(1.0);BE;2018;9.7
BE_2019;ESTAT:TPS00029(1.0);BE;2019;9.5
BE_2020;ESTAT:TPS00029(1.0);BE;2020;11.0
BE_2021;ESTAT:TPS00029(1.0);BE;2021;9.7
BE_2022;ESTAT:TPS00029(1.0);BE;2022;10.0
BG_2011;ESTAT:TPS00029(1.0);BG;2011;14.7
BG_2012;ESTAT:TPS00029(1.0);BG;2012;15.0
BG_2013;ESTAT:TPS00029(1.0);BG;2013;14.4
BG_2014;ESTAT:TPS00029(1.0);BG;2014;15.1
BG_2015;ESTAT:TPS00029(1.0);BG;2015;15.3
BG_2016;ESTAT:TPS00029(1.0);BG;2016;15.1
BG_2017;ESTAT:TPS00029(1.0);BG;2017;15.5
BG_2018;ESTAT:TPS00029(1.0);BG;2018;15.4
BG_2019;ESTAT:TPS00029(1.0);BG;2019;15.5
