ID;DATAFLOW;COUNTRY;Reference area;FINANCING_SCHEME;Financing scheme;TIME_PERIOD;OBS_VALUE
CZ_2012;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HF11;Government schemes;2012;10,634
CZ_2013;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HF11;Government schemes;2013;11,201
CZ_2014;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HF11;Government schemes;2014;11,138
CZ_2015;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HF11;Government schemes;2015;11,186
CZ_2016;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HF11;Government schemes;2016;11,198
CZ_2017;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HF11;Government schemes;2017;12,081
CZ_2018;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HF11;Government schemes;2018;12,686
CZ_2019;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HF11;Government schemes;2019;12,907
CZ_2020;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HF11;Government schemes;2020;17,477
CZ_2021;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HF11;Government schemes;2021;15,445
BG_2012;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HF11;Government schemes;2012;10,99
BG_2013;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HF11;Government schemes;2013;10,321
BG_2014;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HF11;Government schemes;2014;9,77
BG_2015;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HF11;Government schemes;2015;10,169
BG_2016;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HF11;Government schemes;2016;10,245
