ID;DATAFLOW;COUNTRY;Reference area;FUNCTION;TIME_PERIOD;OBS_VALUE
AT_2012;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);AT;Austria;HC1;2012;53,106
AT_2013;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);AT;Austria;HC1;2013;52,533
AT_2014;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);AT;Austria;HC1;2014;52,312
AT_2015;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);AT;Austria;HC1;2015;52,084
AT_2016;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);AT;Austria;HC1;2016;52,396
AT_2017;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);AT;Austria;HC1;2017;52,385
AT_2018;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);AT;Austria;HC1;2018;52,719
AT_2019;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);AT;Austria;HC1;2019;53,021
AT_2020;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);AT;Austria;HC1;2020;52,418
AT_2021;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);AT;Austria;HC1;2021;48,949
BE_2012;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BE;Belgium;HC1;2012;47,362
BE_2013;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BE;Belgium;HC1;2013;47,17
BE_2014;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BE;Belgium;HC1;2014;47,165
BE_2015;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BE;Belgium;HC1;2015;45,916
BE_2016;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BE;Belgium;HC1;2016;43,898
BE_2017;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BE;Belgium;HC1;2017;44,633
BE_2018;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BE;Belgium;HC1;2018;44,566
BE_2019;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BE;Belgium;HC1;2019;46,442
BE_2020;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BE;Belgium;HC1;2020;47,409
BE_2021;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BE;Belgium;HC1;2021;46,659
BG_2012;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HC1;2012;49,256
BG_2013;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HC1;2013;51,791
BG_2014;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HC1;2014;52,363
BG_2015;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HC1;2015;50,681
BG_2016;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HC1;2016;50,066
BG_2017;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HC1;2017;50,267
BG_2018;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HC1;2018;51,719
BG_2019;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HC1;2019;52,234
BG_2020;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HC1;2020;52,416
BG_2021;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);BG;Bulgaria;HC1;2021;51,403
HR_2012;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);HR;Croatia;HC1;2012;50,249
HR_2013;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);HR;Croatia;HC1;2013;49,96
HR_2014;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);HR;Croatia;HC1;2014;52,681
HR_2015;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);HR;Croatia;HC1;2015;53,188
HR_2016;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);HR;Croatia;HC1;2016;51,961
HR_2017;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);HR;Croatia;HC1;2017;52,312
HR_2018;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);HR;Croatia;HC1;2018;53,17
HR_2019;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);HR;Croatia;HC1;2019;54,232
HR_2020;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);HR;Croatia;HC1;2020;53,571
HR_2021;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);HR;Croatia;HC1;2021;55,691
CY_2012;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CY;Cyprus;HC1;2012;58,03
CY_2013;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CY;Cyprus;HC1;2013;57,796
CY_2014;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CY;Cyprus;HC1;2014;57,447
CY_2015;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CY;Cyprus;HC1;2015;54,703
CY_2016;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CY;Cyprus;HC1;2016;54,401
CY_2017;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CY;Cyprus;HC1;2017;54,694
CY_2018;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CY;Cyprus;HC1;2018;54,344
CY_2019;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CY;Cyprus;HC1;2019;56,868
CY_2020;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CY;Cyprus;HC1;2020;60,685
CY_2021;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CY;Cyprus;HC1;2021;64,846
CZ_2012;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HC1;2012;50,021
CZ_2013;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HC1;2013;50,388
CZ_2014;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HC1;2014;51,165
CZ_2015;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HC1;2015;51,413
CZ_2016;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HC1;2016;51,53
CZ_2017;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HC1;2017;51,353
CZ_2018;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HC1;2018;51,571
CZ_2019;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HC1;2019;51,776
CZ_2020;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HC1;2020;53,079
CZ_2021;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);CZ;Czechia;HC1;2021;51,447
DK_2012;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);DK;Denmark;HC1;2012;59,651
DK_2013;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);DK;Denmark;HC1;2013;60,207
DK_2014;OECD.ELS.HD:DSD_SHA@DF_SHA(1.0);DK;Denmark;HC1;2014;59,916
