ID;DATAFLOW;COUNTRY;TIME_PERIOD;TOT_HC_EUR_HAB
AT_2011;ESTAT:TPS00207(1.0);AT;2011;3705.34
AT_2012;ESTAT:TPS00207(1.0);AT;2012;3855.27
AT_2013;ESTAT:TPS00207(1.0);AT;2013;3928.93
AT_2014;ESTAT:TPS00207(1.0);AT;2014;4041.59
AT_2015;ESTAT:TPS00207(1.0);AT;2015;4129.77
AT_2016;ESTAT:TPS00207(1.0);AT;2016;4237.37
AT_2017;ESTAT:TPS00207(1.0);AT;2017;4359.69
AT_2018;ESTAT:TPS00207(1.0);AT;2018;4510.08
AT_2019;ESTAT:TPS00207(1.0);AT;2019;4690.47
AT_2020;ESTAT:TPS00207(1.0);AT;2020;4865.28
AT_2021;ESTAT:TPS00207(1.0);AT;2021;5485.57
AT_2022;ESTAT:TPS00207(1.0);AT;2022;5619.83
BA_2013;ESTAT:TPS00207(1.0);BA;2013;337.05
BA_2014;ESTAT:TPS00207(1.0);BA;2014;346.08
BA_2015;ESTAT:TPS00207(1.0);BA;2015;372.37
BA_2016;ESTAT:TPS00207(1.0);BA;2016;402.60
BA_2017;ESTAT:TPS00207(1.0);BA;2017;409.09
BA_2018;ESTAT:TPS00207(1.0);BA;2018;434.88
BE_2011;ESTAT:TPS00207(1.0);BE;2011;3529.81
BE_2012;ESTAT:TPS00207(1.0);BE;2012;3651.44
BE_2013;ESTAT:TPS00207(1.0);BE;2013;3723.62
BE_2014;ESTAT:TPS00207(1.0);BE;2014;3814.33
BE_2015;ESTAT:TPS00207(1.0);BE;2015;3990.81
BE_2016;ESTAT:TPS00207(1.0);BE;2016;4096.70
BE_2017;ESTAT:TPS00207(1.0);BE;2017;4224.91
BE_2018;ESTAT:TPS00207(1.0);BE;2018;4372.81
BE_2019;ESTAT:TPS00207(1.0);BE;2019;4497.53
BE_2020;ESTAT:TPS00207(1.0);BE;2020;4462.34
BE_2021;ESTAT:TPS00207(1.0);BE;2021;4789.57
BG_2011;ESTAT:TPS00207(1.0);BG;2011;400.96
BG_2012;ESTAT:TPS00207(1.0);BG;2012;436.06
BG_2013;ESTAT:TPS00207(1.0);BG;2013;413.42
BG_2014;ESTAT:TPS00207(1.0);BG;2014;457.59
BG_2015;ESTAT:TPS00207(1.0);BG;2015;471.74
BG_2016;ESTAT:TPS00207(1.0);BG;2016;510.22
BG_2017;ESTAT:TPS00207(1.0);BG;2017;556.20
BG_2018;ESTAT:TPS00207(1.0);BG;2018;586.55
BG_2019;ESTAT:TPS00207(1.0);BG;2019;625.59
BG_2020;ESTAT:TPS00207(1.0);BG;2020;753.65
BG_2021;ESTAT:TPS00207(1.0);BG;2021;884.18
CH_2011;ESTAT:TPS00207(1.0);CH;2011;6548.68
CH_2012;ESTAT:TPS00207(1.0);CH;2012;6774.25
CH_2013;ESTAT:TPS00207(1.0);CH;2013;6822.47
CH_2014;ESTAT:TPS00207(1.0);CH;2014;6978.81
CH_2015;ESTAT:TPS00207(1.0);CH;2015;8140.81
CH_2016;ESTAT:TPS00207(1.0);CH;2016;8160.69
CH_2017;ESTAT:TPS00207(1.0);CH;2017;8047.18
CH_2018;ESTAT:TPS00207(1.0);CH;2018;7772.13
CH_2019;ESTAT:TPS00207(1.0);CH;2019;8314.46
CH_2020;ESTAT:TPS00207(1.0);CH;2020;8813.32
CH_2021;ESTAT:TPS00207(1.0);CH;2021;9175.30
