ID;DATAFLOW;COUNTRY;TIME_PERIOD;PT_GOV_EXP_HEA
AT_2011;ESTAT:GOV_10A_EXP(1.0);AT;2011;15.0
AT_2012;ESTAT:GOV_10A_EXP(1.0);AT;2012;15.0
AT_2013;ESTAT:GOV_10A_EXP(1.0);AT;2013;15.1
AT_2014;ESTAT:GOV_10A_EXP(1.0);AT;2014;15.1
AT_2015;ESTAT:GOV_10A_EXP(1.0);AT;2015;16.0
AT_2016;ESTAT:GOV_10A_EXP(1.0);AT;2016;16.3
AT_2017;ESTAT:GOV_10A_EXP(1.0);AT;2017;16.6
AT_2018;ESTAT:GOV_10A_EXP(1.0);AT;2018;16.9
AT_2019;ESTAT:GOV_10A_EXP(1.0);AT;2019;17.1
AT_2020;ESTAT:GOV_10A_EXP(1.0);AT;2020;16.2
AT_2021;ESTAT:GOV_10A_EXP(1.0);AT;2021;17.9
AT_2022;ESTAT:GOV_10A_EXP(1.0);AT;2022;17.6
BE_2011;ESTAT:GOV_10A_EXP(1.0);BE;2011;14.0
BE_2012;ESTAT:GOV_10A_EXP(1.0);BE;2012;14.1
BE_2013;ESTAT:GOV_10A_EXP(1.0);BE;2013;14.3
BE_2014;ESTAT:GOV_10A_EXP(1.0);BE;2014;14.4
BE_2015;ESTAT:GOV_10A_EXP(1.0);BE;2015;14.6
BE_2016;ESTAT:GOV_10A_EXP(1.0);BE;2016;14.4
BE_2017;ESTAT:GOV_10A_EXP(1.0);BE;2017;14.6
BE_2018;ESTAT:GOV_10A_EXP(1.0);BE;2018;14.6
BE_2019;ESTAT:GOV_10A_EXP(1.0);BE;2019;14.6
BE_2020;ESTAT:GOV_10A_EXP(1.0);BE;2020;14.8
BE_2021;ESTAT:GOV_10A_EXP(1.0);BE;2021;15.6
BE_2022;ESTAT:GOV_10A_EXP(1.0);BE;2022;15.3
BG_2011;ESTAT:GOV_10A_EXP(1.0);BG;2011;12.3
BG_2012;ESTAT:GOV_10A_EXP(1.0);BG;2012;12.7
BG_2013;ESTAT:GOV_10A_EXP(1.0);BG;2013;12.0
BG_2014;ESTAT:GOV_10A_EXP(1.0);BG;2014;12.6
BG_2015;ESTAT:GOV_10A_EXP(1.0);BG;2015;13.1
BG_2016;ESTAT:GOV_10A_EXP(1.0);BG;2016;14.2
BG_2017;ESTAT:GOV_10A_EXP(1.0);BG;2017;13.9
BG_2018;ESTAT:GOV_10A_EXP(1.0);BG;2018;13.4
BG_2019;ESTAT:GOV_10A_EXP(1.0);BG;2019;12.7
BG_2020;ESTAT:GOV_10A_EXP(1.0);BG;2020;14.1
BG_2021;ESTAT:GOV_10A_EXP(1.0);BG;2021;14.0
BG_2022;ESTAT:GOV_10A_EXP(1.0);BG;2022;13.4
CH_2011;ESTAT:GOV_10A_EXP(1.0);CH;2011;5.9
CH_2012;ESTAT:GOV_10A_EXP(1.0);CH;2012;6.3
CH_2013;ESTAT:GOV_10A_EXP(1.0);CH;2013;6.3
CH_2014;ESTAT:GOV_10A_EXP(1.0);CH;2014;6.3
CH_2015;ESTAT:GOV_10A_EXP(1.0);CH;2015;6.3
CH_2016;ESTAT:GOV_10A_EXP(1.0);CH;2016;6.4
CH_2017;ESTAT:GOV_10A_EXP(1.0);CH;2017;6.3
CH_2018;ESTAT:GOV_10A_EXP(1.0);CH;2018;6.4
CH_2019;ESTAT:GOV_10A_EXP(1.0);CH;2019;6.6
CH_2020;ESTAT:GOV_10A_EXP(1.0);CH;2020;6.7
CH_2021;ESTAT:GOV_10A_EXP(1.0);CH;2021;7.7
CH_2022;ESTAT:GOV_10A_EXP(1.0);CH;2022;7.0
