ID;DATAFLOW;COUNTRY;TIME_PERIOD;TOT_HC
AT_2011;ESTAT:TPS00207(1.0);AT;2011;31093.91
AT_2012;ESTAT:TPS00207(1.0);AT;2012;32499.92
AT_2013;ESTAT:TPS00207(1.0);AT;2013;33316.59
AT_2014;ESTAT:TPS00207(1.0);AT;2014;34540.89
AT_2015;ESTAT:TPS00207(1.0);AT;2015;35692.35
AT_2016;ESTAT:TPS00207(1.0);AT;2016;37020.51
AT_2017;ESTAT:TPS00207(1.0);AT;2017;38354.63
AT_2018;ESTAT:TPS00207(1.0);AT;2018;39871.46
AT_2019;ESTAT:TPS00207(1.0);AT;2019;41650.95
AT_2020;ESTAT:TPS00207(1.0);AT;2020;43383.05
AT_2021;ESTAT:TPS00207(1.0);AT;2021;49127.65
AT_2022;ESTAT:TPS00207(1.0);AT;2022;50813.65
BA_2013;ESTAT:TPS00207(1.0);BA;2013;1291.99
BA_2014;ESTAT:TPS00207(1.0);BA;2014;1324.85
BA_2015;ESTAT:TPS00207(1.0);BA;2015;1366.83
BA_2016;ESTAT:TPS00207(1.0);BA;2016;1414.26
BA_2017;ESTAT:TPS00207(1.0);BA;2017;1433.85
BA_2018;ESTAT:TPS00207(1.0);BA;2018;1520.41
BA_2019;ESTAT:TPS00207(1.0);BA;2019;1633.05
BA_2020;ESTAT:TPS00207(1.0);BA;2020;1722.85
BA_2021;ESTAT:TPS00207(1.0);BA;2021;1912.42
BE_2011;ESTAT:TPS00207(1.0);BE;2011;38962.97
BE_2012;ESTAT:TPS00207(1.0);BE;2012;40556.25
BE_2013;ESTAT:TPS00207(1.0);BE;2013;41553.39
BE_2014;ESTAT:TPS00207(1.0);BE;2014;42755.00
BE_2015;ESTAT:TPS00207(1.0);BE;2015;44993.13
BE_2016;ESTAT:TPS00207(1.0);BE;2016;46421.46
BE_2017;ESTAT:TPS00207(1.0);BE;2017;48058.99
BE_2018;ESTAT:TPS00207(1.0);BE;2018;49968.34
BE_2019;ESTAT:TPS00207(1.0);BE;2019;51672.02
BE_2020;ESTAT:TPS00207(1.0);BE;2020;51489.23
BE_2021;ESTAT:TPS00207(1.0);BE;2021;55492.94
BG_2011;ESTAT:TPS00207(1.0);BG;2011;2946.38
BG_2012;ESTAT:TPS00207(1.0);BG;2012;3185.79
BG_2013;ESTAT:TPS00207(1.0);BG;2013;3003.51
BG_2014;ESTAT:TPS00207(1.0);BG;2014;3305.61
BG_2015;ESTAT:TPS00207(1.0);BG;2015;3386.12
BG_2016;ESTAT:TPS00207(1.0);BG;2016;3636.79
BG_2017;ESTAT:TPS00207(1.0);BG;2017;3935.66
BG_2018;ESTAT:TPS00207(1.0);BG;2018;4120.53
BG_2019;ESTAT:TPS00207(1.0);BG;2019;4364.00
BG_2020;ESTAT:TPS00207(1.0);BG;2020;5225.79
BG_2021;ESTAT:TPS00207(1.0);BG;2021;6081.15
CH_2011;ESTAT:TPS00207(1.0);CH;2011;51815.78
CH_2012;ESTAT:TPS00207(1.0);CH;2012;54172.73
CH_2013;ESTAT:TPS00207(1.0);CH;2013;55189.36
CH_2014;ESTAT:TPS00207(1.0);CH;2014;57146.99
CH_2015;ESTAT:TPS00207(1.0);CH;2015;67425.41
CH_2016;ESTAT:TPS00207(1.0);CH;2016;68332.19
CH_2017;ESTAT:TPS00207(1.0);CH;2017;68013.48
CH_2018;ESTAT:TPS00207(1.0);CH;2018;66174.47
CH_2019;ESTAT:TPS00207(1.0);CH;2019;71298.85
CH_2020;ESTAT:TPS00207(1.0);CH;2020;76130.96
CH_2021;ESTAT:TPS00207(1.0);CH;2021;79866.78
CY_2011;ESTAT:TPS00207(1.0);CY;2011;1277.15
CY_2012;ESTAT:TPS00207(1.0);CY;2012;1274.30
CY_2013;ESTAT:TPS00207(1.0);CY;2013;1249.79
CY_2014;ESTAT:TPS00207(1.0);CY;2014;1211.80
CY_2015;ESTAT:TPS00207(1.0);CY;2015;1219.10
CY_2016;ESTAT:TPS00207(1.0);CY;2016;1264.90
CY_2017;ESTAT:TPS00207(1.0);CY;2017;1345.07
CY_2018;ESTAT:TPS00207(1.0);CY;2018;1479.54
CY_2019;ESTAT:TPS00207(1.0);CY;2019;1637.70
CY_2020;ESTAT:TPS00207(1.0);CY;2020;1840.84
CY_2021;ESTAT:TPS00207(1.0);CY;2021;2264.62
CZ_2011;ESTAT:TPS00207(1.0);CZ;2011;12486.02
CZ_2012;ESTAT:TPS00207(1.0);CZ;2012;12396.45
CZ_2013;ESTAT:TPS00207(1.0);CZ;2013;11993.62
CZ_2014;ESTAT:TPS00207(1.0);CZ;2014;12014.13
CZ_2015;ESTAT:TPS00207(1.0);CZ;2015;12494.71
CZ_2016;ESTAT:TPS00207(1.0);CZ;2016;13211.26
CZ_2017;ESTAT:TPS00207(1.0);CZ;2017;14328.40
CZ_2018;ESTAT:TPS00207(1.0);CZ;2018;15760.51
CZ_2019;ESTAT:TPS00207(1.0);CZ;2019;17154.21
CZ_2020;ESTAT:TPS00207(1.0);CZ;2020;19883.63
CZ_2021;ESTAT:TPS00207(1.0);CZ;2021;22606.99
DE_2011;ESTAT:TPS00207(1.0);DE;2011;290324.00
DE_2012;ESTAT:TPS00207(1.0);DE;2012;297961.00
DE_2013;ESTAT:TPS00207(1.0);DE;2013;309222.00
DE_2014;ESTAT:TPS00207(1.0);DE;2014;322775.00
DE_2015;ESTAT:TPS00207(1.0);DE;2015;338644.00
DE_2016;ESTAT:TPS00207(1.0);DE;2016;352404.00
DE_2017;ESTAT:TPS00207(1.0);DE;2017;370371.00
DE_2018;ESTAT:TPS00207(1.0);DE;2018;386371.00
DE_2019;ESTAT:TPS00207(1.0);DE;2019;406910.00
DE_2020;ESTAT:TPS00207(1.0);DE;2020;432236.00
DE_2021;ESTAT:TPS00207(1.0);DE;2021;465855.00
DE_2022;ESTAT:TPS00207(1.0);DE;2022;489364.00
DK_2011;ESTAT:TPS00207(1.0);DK;2011;25796.94
DK_2012;ESTAT:TPS00207(1.0);DK;2012;26786.62
DK_2013;ESTAT:TPS00207(1.0);DK;2013;26725.94
DK_2014;ESTAT:TPS00207(1.0);DK;2014;27397.37
DK_2015;ESTAT:TPS00207(1.0);DK;2015;28241.26
DK_2016;ESTAT:TPS00207(1.0);DK;2016;29023.33
DK_2017;ESTAT:TPS00207(1.0);DK;2017;29770.48
DK_2018;ESTAT:TPS00207(1.0);DK;2018;30528.07
DK_2019;ESTAT:TPS00207(1.0);DK;2019;31424.46
DK_2020;ESTAT:TPS00207(1.0);DK;2020;32922.76
DK_2021;ESTAT:TPS00207(1.0);DK;2021;36446.54
DK_2022;ESTAT:TPS00207(1.0);DK;2022;35715.15
EE_2011;ESTAT:TPS00207(1.0);EE;2011;1013.67
EE_2012;ESTAT:TPS00207(1.0);EE;2012;1092.03
EE_2013;ESTAT:TPS00207(1.0);EE;2013;1187.71
