ID;DATAFLOW;COUNTRY;TIME_PERIOD;HLY_M;HLY_F
AT_2012;ESTAT:HLTH_HLYE(1.0);AT;2012;60.2;62.5
AT_2013;ESTAT:HLTH_HLYE(1.0);AT;2013;59.7;60.2
AT_2014;ESTAT:HLTH_HLYE(1.0);AT;2014;57.6;57.8
AT_2015;ESTAT:HLTH_HLYE(1.0);AT;2015;57.9;58.1
AT_2016;ESTAT:HLTH_HLYE(1.0);AT;2016;57.0;57.1
AT_2017;ESTAT:HLTH_HLYE(1.0);AT;2017;57.4;56.8
AT_2018;ESTAT:HLTH_HLYE(1.0);AT;2018;56.8;57.0
AT_2019;ESTAT:HLTH_HLYE(1.0);AT;2019;56.7;58.0
AT_2020;ESTAT:HLTH_HLYE(1.0);AT;2020;58.2;59.3
AT_2021;ESTAT:HLTH_HLYE(1.0);AT;2021;61.5;61.3
BE_2012;ESTAT:HLTH_HLYE(1.0);BE;2012;64.2;65.0
BE_2013;ESTAT:HLTH_HLYE(1.0);BE;2013;64.0;63.7
BE_2014;ESTAT:HLTH_HLYE(1.0);BE;2014;64.4;63.7
BE_2015;ESTAT:HLTH_HLYE(1.0);BE;2015;64.4;64.0
BE_2016;ESTAT:HLTH_HLYE(1.0);BE;2016;63.6;63.7
BE_2017;ESTAT:HLTH_HLYE(1.0);BE;2017;63.3;64.0
BE_2018;ESTAT:HLTH_HLYE(1.0);BE;2018;63.2;63.7
BE_2019;ESTAT:HLTH_HLYE(1.0);BE;2019;62.1;62.8
BE_2020;ESTAT:HLTH_HLYE(1.0);BE;2020;63.6;64.0
BE_2021;ESTAT:HLTH_HLYE(1.0);BE;2021;64.8;64.4
BG_2012;ESTAT:HLTH_HLYE(1.0);BG;2012;62.1;65.7
BG_2013;ESTAT:HLTH_HLYE(1.0);BG;2013;62.4;66.6
BG_2014;ESTAT:HLTH_HLYE(1.0);BG;2014;62.0;66.1
BG_2015;ESTAT:HLTH_HLYE(1.0);BG;2015;61.5;65.0
BG_2016;ESTAT:HLTH_HLYE(1.0);BG;2016;64.0;67.5
BG_2017;ESTAT:HLTH_HLYE(1.0);BG;2017;62.9;66.2
BG_2018;ESTAT:HLTH_HLYE(1.0);BG;2018;64.0;67.6
BG_2019;ESTAT:HLTH_HLYE(1.0);BG;2019;64.4;68.4
BG_2020;ESTAT:HLTH_HLYE(1.0);BG;2020;63.6;67.8
BG_2021;ESTAT:HLTH_HLYE(1.0);BG;2021;61.6;65.1
CH_2012;ESTAT:HLTH_HLYE(1.0);CH;2012;68.6;67.6
CH_2013;ESTAT:HLTH_HLYE(1.0);CH;2013;61.5;58.4
CH_2014;ESTAT:HLTH_HLYE(1.0);CH;2014;60.6;56.7
CH_2015;ESTAT:HLTH_HLYE(1.0);CH;2015;61.1;57.8
CH_2016;ESTAT:HLTH_HLYE(1.0);CH;2016;61.0;57.7
CH_2017;ESTAT:HLTH_HLYE(1.0);CH;2017;61.8;59.4
CH_2018;ESTAT:HLTH_HLYE(1.0);CH;2018;61.5;59.5
CH_2019;ESTAT:HLTH_HLYE(1.0);CH;2019;61.0;60.0
CH_2020;ESTAT:HLTH_HLYE(1.0);CH;2020;62.2;60.7
CH_2021;ESTAT:HLTH_HLYE(1.0);CH;2021;63.2;59.3
CY_2012;ESTAT:HLTH_HLYE(1.0);CY;2012;63.4;64.0
CY_2013;ESTAT:HLTH_HLYE(1.0);CY;2013;64.3;65.0
CY_2014;ESTAT:HLTH_HLYE(1.0);CY;2014;65.8;66.1
CY_2015;ESTAT:HLTH_HLYE(1.0);CY;2015;63.1;63.4
CY_2016;ESTAT:HLTH_HLYE(1.0);CY;2016;67.5;68.8
CY_2017;ESTAT:HLTH_HLYE(1.0);CY;2017;64.7;65.8
CY_2018;ESTAT:HLTH_HLYE(1.0);CY;2018;62.0;62.4
CY_2019;ESTAT:HLTH_HLYE(1.0);CY;2019;62.1;63.0
CY_2020;ESTAT:HLTH_HLYE(1.0);CY;2020;62.5;63.1
CY_2021;ESTAT:HLTH_HLYE(1.0);CY;2021;64.5;66.8
CZ_2012;ESTAT:HLTH_HLYE(1.0);CZ;2012;62.3;64.1
CZ_2013;ESTAT:HLTH_HLYE(1.0);CZ;2013;62.5;64.2
CZ_2014;ESTAT:HLTH_HLYE(1.0);CZ;2014;63.4;65.0
CZ_2015;ESTAT:HLTH_HLYE(1.0);CZ;2015;62.4;63.7
CZ_2016;ESTAT:HLTH_HLYE(1.0);CZ;2016;62.7;64.0
CZ_2017;ESTAT:HLTH_HLYE(1.0);CZ;2017;60.6;62.4
CZ_2018;ESTAT:HLTH_HLYE(1.0);CZ;2018;62.2;63.4
CZ_2019;ESTAT:HLTH_HLYE(1.0);CZ;2019;61.7;62.6
CZ_2020;ESTAT:HLTH_HLYE(1.0);CZ;2020;60.9;62.5
CZ_2021;ESTAT:HLTH_HLYE(1.0);CZ;2021;60.7;63.4
DE_2012;ESTAT:HLTH_HLYE(1.0);DE;2012;57.3;57.9
DE_2013;ESTAT:HLTH_HLYE(1.0);DE;2013;57.7;57.0
DE_2014;ESTAT:HLTH_HLYE(1.0);DE;2014;56.4;56.5
DE_2015;ESTAT:HLTH_HLYE(1.0);DE;2015;65.3;67.5
DE_2016;ESTAT:HLTH_HLYE(1.0);DE;2016;65.3;67.3
DE_2017;ESTAT:HLTH_HLYE(1.0);DE;2017;65.1;66.7
DE_2018;ESTAT:HLTH_HLYE(1.0);DE;2018;65.1;66.3
DE_2019;ESTAT:HLTH_HLYE(1.0);DE;2019;65.4;67.1
DE_2020;ESTAT:HLTH_HLYE(1.0);DE;2020;64.7;66.8
DE_2021;ESTAT:HLTH_HLYE(1.0);DE;2021;64.7;66.5
DK_2012;ESTAT:HLTH_HLYE(1.0);DK;2012;61.2;61.5
DK_2013;ESTAT:HLTH_HLYE(1.0);DK;2013;60.7;60.1
DK_2014;ESTAT:HLTH_HLYE(1.0);DK;2014;60.3;61.4
DK_2015;ESTAT:HLTH_HLYE(1.0);DK;2015;60.4;57.6
DK_2016;ESTAT:HLTH_HLYE(1.0);DK;2016;60.3;60.3
DK_2017;ESTAT:HLTH_HLYE(1.0);DK;2017;59.8;59.7
DK_2018;ESTAT:HLTH_HLYE(1.0);DK;2018;62.5;59.1
DK_2019;ESTAT:HLTH_HLYE(1.0);DK;2019;59.0;58.8
DK_2020;ESTAT:HLTH_HLYE(1.0);DK;2020;58.1;57.7
DK_2021;ESTAT:HLTH_HLYE(1.0);DK;2021;58.2;54.8
EE_2012;ESTAT:HLTH_HLYE(1.0);EE;2012;53.1;57.2
EE_2013;ESTAT:HLTH_HLYE(1.0);EE;2013;53.9;57.1
EE_2014;ESTAT:HLTH_HLYE(1.0);EE;2014;53.2;57.1
