ID;DATAFLOW;COUNTRY;TIME_PERIOD;POPU;POPU_GROWTH
AL_2012;ESTAT:TPS00001(1.0);AL;2012;2903008;
AL_2013;ESTAT:TPS00001(1.0);AL;2013;2897770;-0,180433537
AL_2014;ESTAT:TPS00001(1.0);AL;2014;2892394;-0,18552197
AL_2015;ESTAT:TPS00001(1.0);AL;2015;2885796;-0,228115533
AL_2016;ESTAT:TPS00001(1.0);AL;2016;2875592;-0,353593948
AL_2017;ESTAT:TPS00001(1.0);AL;2017;2876591;0,034740673
AL_2018;ESTAT:TPS00001(1.0);AL;2018;2870324;-0,217862046
AL_2019;ESTAT:TPS00001(1.0);AL;2019;2862427;-0,275125735
AL_2020;ESTAT:TPS00001(1.0);AL;2020;2845955;-0,575455723
AL_2021;ESTAT:TPS00001(1.0);AL;2021;2829741;-0,569720885
AL_2022;ESTAT:TPS00001(1.0);AL;2022;2793592;-1,277466736
AL_2023;ESTAT:TPS00001(1.0);AL;2023;2761785;-1,138569984
AM_2012;ESTAT:TPS00001(1.0);AM;2012;3274285;
AM_2013;ESTAT:TPS00001(1.0);AM;2013;3026878;-7,556061858
AM_2014;ESTAT:TPS00001(1.0);AM;2014;3017079;-0,323732902
AM_2015;ESTAT:TPS00001(1.0);AM;2015;3010598;-0,214810418
AM_2016;ESTAT:TPS00001(1.0);AM;2016;2998577;-0,399289443
AM_2017;ESTAT:TPS00001(1.0);AM;2017;2986151;-0,414396562
AM_2018;ESTAT:TPS00001(1.0);AM;2018;2972732;-0,449374462
AM_2019;ESTAT:TPS00001(1.0);AM;2019;2965269;-0,25104853
AM_2020;ESTAT:TPS00001(1.0);AM;2020;2959694;-0,188009924
AM_2021;ESTAT:TPS00001(1.0);AM;2021;2963251;0,120181343
AM_2023;ESTAT:TPS00001(1.0);AM;2023;2977130;
AT_2012;ESTAT:TPS00001(1.0);AT;2012;8408121;
AT_2013;ESTAT:TPS00001(1.0);AT;2013;8451860;0,52019946
AT_2014;ESTAT:TPS00001(1.0);AT;2014;8507786;0,661700501
AT_2015;ESTAT:TPS00001(1.0);AT;2015;8584926;0,906698876
AT_2016;ESTAT:TPS00001(1.0);AT;2016;8700471;1,345905602
AT_2017;ESTAT:TPS00001(1.0);AT;2017;8772865;0,832069896
AT_2018;ESTAT:TPS00001(1.0);AT;2018;8822267;0,563122765
AT_2019;ESTAT:TPS00001(1.0);AT;2019;8858775;0,413816539
AT_2020;ESTAT:TPS00001(1.0);AT;2020;8901064;0,477368485
AT_2021;ESTAT:TPS00001(1.0);AT;2021;8932664;0,355013738
AT_2022;ESTAT:TPS00001(1.0);AT;2022;8978929;0,517930597
AT_2023;ESTAT:TPS00001(1.0);AT;2023;9104772;1,401536865
AZ_2012;ESTAT:TPS00001(1.0);AZ;2012;9235085;
