,CODE,EN
55,3142500,Eggs
308,9310000,Electricity
472,15000000,"Food, beverages, tobacco and related products"
473,15100000,"Animal products, meat and meat products"
478,15112000,Poultry
773,15800000,Miscellaneous food products
776,15811100,Bread
862,15880000,Special nutritional products
864,15882000,Dietetic products
866,15890000,Miscellaneous food products and dried goods
1005,18143000,Protective gear
1069,18424300,Disposable gloves
1401,24111500,Medical gases
1605,24455000,Disinfectants
1644,24931250,Culture medium
1727,30125110,Toner for laser printers/fax machines
1952,30200000,Computer equipment and supplies
2555,32354100,Radiology film
2675,33000000,"Medical equipments, pharmaceuticals and personal care products"
3444,34320000,Mechanical spare parts except engines and engine parts
3808,35113410,Garments for biological or chemical protection
4339,38000000,"Laboratory, optical and precision equipments (excl. glasses)"
4656,39100000,Furniture
4935,39518000,Hospital linen
5105,39830000,Cleaning products
5112,39831240,Cleaning compounds
5807,44100000,Construction materials and associated items
6345,45000000,Construction work
6542,45215100,Construction work for buildings relating to health
7167,48000000,Software package and information systems
7365,50000000,Repair and maintenance services
7367,50110000,Repair and maintenance services of motor vehicles and associated equipment
7510,50400000,Repair and maintenance services of medical and precision equipment
7511,50410000,"Repair and maintenance services of measuring, testing and checking apparatus"
7522,50420000,Repair and maintenance services of medical and surgical equipment
7523,50421000,Repair and maintenance services of medical equipment
7525,50421200,Repair and maintenance services of X-ray equipment
7572,50800000,Miscellaneous repair and maintenance services
7738,60000000,Transport services (excl. Waste transport)
7739,60100000,Road transport services
7742,60130000,Special-purpose road passenger-transport services
7982,66510000,Insurance services
8075,71000000,"Architectural, construction, engineering and inspection services"
8076,71200000,Architectural and related services
8259,72000000,"IT services: consulting, software development, Internet and support"
8757,79313000,Performance review services
8923,80320000,Medical education services
8969,85000000,Health and social work services
8970,85100000,Health services
8992,85121200,Medical specialist services
9028,85143000,Ambulance services
9031,85145000,Services provided by medical laboratories
9081,90500000,Refuse and waste related services
9124,90524400,"Collection, transport and disposal of hospital waste"
9241,90910000,Cleaning services
9244,90911200,Building-cleaning services
9385,98310000,Washing and dry-cleaning services
