source,country,year,count,complete_count
opentender,at,2009,5025,2429
opentender,at,2010,4971,1897
opentender,at,2011,4559,1305
opentender,at,2012,5290,1285
opentender,at,2013,5402,1095
opentender,at,2014,5218,1059
opentender,at,2015,5515,1420
opentender,at,2016,5186,2206
opentender,at,2017,6194,3136
opentender,at,2018,5267,2938
opentender,at,2019,19564,3829
opentender,at,2020,25799,4871
opentender,at,2021,29942,4123
opentender,at,2022,20246,961
opentender,be,2009,7324,3125
opentender,be,2010,8277,2357
opentender,be,2011,13530,3212
opentender,be,2012,14449,3563
opentender,be,2013,14682,3613
opentender,be,2014,14030,2907
opentender,be,2015,14156,3218
opentender,be,2016,15755,3690
opentender,be,2017,14970,5066
opentender,be,2018,13348,6705
opentender,be,2019,14057,6384
opentender,be,2020,14378,6603
opentender,be,2021,15157,5707
opentender,be,2022,10012,920
opentender,es,2009,19720,14328
opentender,es,2010,22733,12949
opentender,es,2011,30424,17675
opentender,es,2012,29872,20051
opentender,es,2013,36054,25196
opentender,es,2014,37384,27557
opentender,es,2015,45342,35284
opentender,es,2016,64673,50328
opentender,es,2017,101737,72414
opentender,es,2018,369262,137272
opentender,es,2019,493457,247666
opentender,es,2020,478023,253111
opentender,es,2021,604411,332275
opentender,es,2022,343923,185871
opentender,fr,2009,195056,31085
opentender,fr,2010,317257,23439
opentender,fr,2011,381364,24531
opentender,fr,2012,329774,21938
opentender,fr,2013,317352,19864
opentender,fr,2014,294602,20079
opentender,fr,2015,359923,15715
opentender,fr,2016,315760,61187
opentender,fr,2017,331694,71463
opentender,fr,2018,364127,69531
opentender,fr,2019,345887,78543
opentender,fr,2020,266985,75778
opentender,fr,2021,317158,91873
opentender,fr,2022,223158,17974
opentender,gr,2009,4736,2486
opentender,gr,2010,6370,2580
opentender,gr,2011,10851,3842
opentender,gr,2012,13178,4840
opentender,gr,2013,13359,7158
opentender,gr,2014,12938,5774
opentender,gr,2015,12456,5269
opentender,gr,2016,13012,7484
opentender,gr,2017,14309,9202
opentender,gr,2018,19987,12016
opentender,gr,2019,18566,11032
opentender,gr,2020,18098,10870
opentender,gr,2021,19126,8711
opentender,gr,2022,11492,1387
opentender,hu,2009,11080,8276
opentender,hu,2010,17082,11693
opentender,hu,2011,22322,14785
opentender,hu,2012,33253,21789
opentender,hu,2013,37294,27902
opentender,hu,2014,38791,30490
opentender,hu,2015,38472,30049
opentender,hu,2016,50876,41209
opentender,hu,2017,66714,53416
opentender,hu,2018,68745,56123
opentender,hu,2019,63307,52534
opentender,hu,2020,60317,51505
opentender,hu,2021,49853,42398
opentender,hu,2022,32765,17827
opentender,it,2009,18005,12228
opentender,it,2010,24935,14878
opentender,it,2011,38394,18227
opentender,it,2012,40964,15811
opentender,it,2013,51063,16502
opentender,it,2014,233208,14872
opentender,it,2015,3937922,19048
opentender,it,2016,4455529,19418
opentender,it,2017,3667147,25718
opentender,it,2018,4406084,28941
opentender,it,2019,4207174,27579
opentender,it,2020,4843746,23800
opentender,it,2021,45722,21943
opentender,it,2022,28308,3307
opentender,lu,2009,601,314
opentender,lu,2010,623,155
opentender,lu,2011,521,60
opentender,lu,2012,609,46
opentender,lu,2013,631,76
opentender,lu,2014,610,45
opentender,lu,2015,582,73
opentender,lu,2016,691,123
opentender,lu,2017,788,333
opentender,lu,2018,941,481
opentender,lu,2019,1038,489
opentender,lu,2020,1224,644
opentender,lu,2021,1609,739
opentender,lu,2022,1024,178
opentender,mt,2009,430,246
opentender,mt,2010,301,150
opentender,mt,2011,379,241
opentender,mt,2012,421,129
opentender,mt,2013,542,144
opentender,mt,2014,956,436
opentender,mt,2015,960,432
opentender,mt,2016,1218,314
opentender,mt,2017,1530,653
opentender,mt,2018,1885,1205
opentender,mt,2019,1165,570
opentender,mt,2020,1125,528
opentender,mt,2021,1077,457
opentender,mt,2022,780,185
opentender,pt,2009,112009,1002
opentender,pt,2010,92377,1320
opentender,pt,2011,106919,1456
opentender,pt,2012,111849,1444
opentender,pt,2013,143600,1732
opentender,pt,2014,178914,1996
opentender,pt,2015,188748,2063
opentender,pt,2016,198572,2945
opentender,pt,2017,221885,4123
opentender,pt,2018,227575,7132
opentender,pt,2019,289575,10270
opentender,pt,2020,422161,9582
opentender,pt,2021,993258,10152
opentender,pt,2022,187150,5068
opentender,ro,2009,443146,33649
opentender,ro,2010,836071,46351
opentender,ro,2011,1106162,133326
opentender,ro,2012,1140218,85781
opentender,ro,2013,1198949,57796
opentender,ro,2014,673645,48784
opentender,ro,2015,1556602,54640
opentender,ro,2016,3538859,42745
opentender,ro,2017,2464390,55603
opentender,ro,2018,2753936,256782
opentender,ro,2019,2628267,337756
opentender,ro,2020,2365596,391616
opentender,ro,2021,683624,430905
opentender,ro,2022,458788,260732
opentender,se,2009,6132,2261
opentender,se,2010,9133,1332
opentender,se,2011,11099,1056
opentender,se,2012,13720,608
opentender,se,2013,14204,543
opentender,se,2014,15581,467
opentender,se,2015,17006,711
opentender,se,2016,17394,2415
opentender,se,2017,12281,6943
opentender,se,2018,11464,6977
opentender,se,2019,11833,7848
opentender,se,2020,12190,7844
opentender,se,2021,19030,13212
opentender,se,2022,9636,4247
opentender,sk,2009,4161,2994
opentender,sk,2010,3843,2556
opentender,sk,2011,8207,3978
opentender,sk,2012,12510,4676
opentender,sk,2013,12940,3586
opentender,sk,2014,21873,6749
opentender,sk,2015,14951,6760
opentender,sk,2016,38030,4977
opentender,sk,2017,33331,4092
opentender,sk,2018,39546,4105
opentender,sk,2019,159635,3830
opentender,sk,2020,160739,9357
opentender,sk,2021,172990,4951
opentender,sk,2022,34071,1180
swedish_database,se,2021,3682,1837
swedish_database,se,2022,3682,1845
ted,sk,2011,2153,2044
ted,fr,2011,136336,66285
ted,it,2011,19985,16139
ted,ro,2011,17875,17856
ted,pt,2011,2347,1700
ted,es,2011,22310,16670
ted,gr,2011,3437,2916
ted,hu,2011,6323,5876
ted,at,2011,3333,1817
ted,se,2011,7901,660
ted,be,2011,6864,3644
ted,lu,2011,1197,979
ted,mt,2011,190,182
ted,fr,2012,130739,59288
ted,ro,2012,21206,21184
ted,it,2012,21929,16776
ted,se,2012,9355,529
ted,at,2012,3755,1851
ted,be,2012,7735,4872
ted,sk,2012,4414,4067
ted,es,2012,18327,13942
ted,hu,2012,5205,4848
ted,gr,2012,3988,3165
ted,pt,2012,1798,1141
ted,lu,2012,753,560
ted,mt,2012,202,148
ted,be,2013,7554,4289
ted,gr,2013,4059,3316
ted,es,2013,19034,13997
ted,fr,2013,128769,56695
ted,ro,2013,17778,17762
ted,pt,2013,2628,1574
ted,it,2013,19813,16637
ted,se,2013,10146,412
ted,sk,2013,9210,9038
ted,hu,2013,7380,6498
ted,at,2013,3535,1608
ted,lu,2013,966,758
ted,mt,2013,188,140
ted,be,2014,8038,4617
ted,lu,2014,774,522
ted,fr,2014,121906,52187
ted,ro,2014,22259,22235
ted,sk,2014,3396,3384
ted,es,2014,21903,16704
ted,hu,2014,6119,5815
ted,pt,2014,3183,2680
ted,at,2014,3334,1744
ted,it,2014,20622,17594
ted,gr,2014,6748,6201
ted,se,2014,10530,565
ted,mt,2014,393,344
ted,gr,2015,5402,4736
ted,hu,2015,6361,6143
ted,lu,2015,1293,1072
ted,it,2015,21011,17851
ted,be,2015,7386,4283
ted,fr,2015,120492,48363
ted,at,2015,3560,1814
ted,es,2015,21658,16524
ted,ro,2015,28839,28829
ted,se,2015,12372,335
ted,sk,2015,3640,3631
ted,pt,2015,4125,3548
ted,mt,2015,488,425
ted,it,2016,21565,16699
ted,fr,2016,112617,71489
ted,be,2016,8806,4689
ted,lu,2016,1645,1066
ted,es,2016,25172,17711
ted,at,2016,4343,2423
ted,ro,2016,25350,25340
ted,hu,2016,6767,5348
ted,se,2016,15070,1428
ted,gr,2016,5769,4964
ted,sk,2016,3176,2401
ted,pt,2016,3874,2969
ted,mt,2016,424,392
ted,it,2017,19733,14736
ted,se,2017,14411,7810
ted,be,2017,8351,5141
ted,lu,2017,970,759
ted,fr,2017,129721,98436
ted,es,2017,32661,23671
ted,hu,2017,9366,6168
ted,sk,2017,5202,3675
ted,pt,2017,5635,4223
ted,at,2017,4345,2943
ted,ro,2017,42001,41988
ted,gr,2017,4288,3332
ted,mt,2017,984,582
ted,it,2018,24484,18045
ted,lu,2018,1087,958
ted,be,2018,10718,7142
ted,at,2018,4889,3351
ted,hu,2018,12330,8741
ted,fr,2018,125037,100451
ted,pt,2018,8531,6485
ted,sk,2018,6393,4594
ted,se,2018,18058,14794
ted,ro,2018,55166,35639
ted,es,2018,43646,28502
ted,gr,2018,8034,5503
ted,mt,2018,1353,918
ted,be,2019,12398,8369
ted,es,2019,58086,38225
ted,hu,2019,10726,8205
ted,fr,2019,132712,107897
ted,mt,2019,1265,846
ted,lu,2019,1669,1446
ted,gr,2019,11067,7988
ted,it,2019,32443,23824
ted,se,2019,20121,17316
